page_name,gender_streamer,age,country,num_followers,platform,streamed_game1,streamed_game2,streamed_game3,date_started,page_link
burg,male,18,Philippines,169022,Facebook,Valorant,Phasmophobia,Rust,5/22/2020,https://www.facebook.com/gaming/rsnburg
Razzie Binx,male,0,Philippines,797062,Facebook,Valorant,Mobile Legends,At Dead of Night,2/28/2015,https://www.facebook.com/gaming/RealRazzieBinx
Ling2x,female,0,Philippines,159088,Facebook,Valorant,APEX Legends,Call Of Duty: Warzone,10/26/2017,https://www.facebook.com/gaming/L1NG2X
Juweljems,male,17,Philippines,7320,Facebook,Valorant,Phasmophobia,Among Us,8/21/2020,https://www.facebook.com/gaming/juweljems
Diviny,female,0,Philippines,32456,Facebook,Valorant,APEX Legends,Phasmophobia,05/10/2018,https://www.facebook.com/gaming/ddiviny
Rammyb,male,19,Philippines,267,Facebook,Valorant,unavailable,unavailable,10/23/2020,https://www.facebook.com/gaming/rammybb
KCky,female,0,Philippines,36778,Facebook,Valorant,DOTA 2,Among Us,6/25/2019,https://www.facebook.com/gaming/KacelynWxC
Old Noob Gaming,male,0,Philippines,53764,Facebook,Valorant,Minecraft,Mobile Legends,07/08/2019,https://www.facebook.com/gaming/JRiseGaming
Redg Gaming,female,0,Philippines,626,Facebook,Valorant,unavailable,unavailable,2/15/2021,https://www.facebook.com/gaming/RedgTheGamer
Fuoco TV,male,19,Philippines,1477,Facebook,Valorant,Gran Theft Auto V,unavailable,1/26/2021,https://www.facebook.com/FuocoTV
Daze,male,20,Philippines,234,Facebook,Valorant,Phasmophobia,unavailable,12/24/2020,https://www.facebook.com/gaming/Daaazeee
Jatskenesis,male,20,Philippines,148,Facebook,Valorant,Phasmophobia,Little Nightmares,1/24/2021,https://www.facebook.com/gaming/Jatskinesis
Illoumanatee,male,21,Philippines,71,Facebook,Valorant,Mobile Legends,unavailable,1/30/2021,https://www.facebook.com/gaming/illoumanatee
Deeznuts Gaming,male,0,Philippines,116,Facebook,Gran Theft Auto V,Call of Duty: Mobile,unavailable,01/03/2021,https://www.facebook.com/gaming/DEEZNUTSGAMING16
PrayDator,male,0,Philippines,289,Facebook,Valorant,APEX Legends,Mobile Legends,01/10/2021,https://www.facebook.com/gaming/PrayDatorGaming
Noctile,male,0,Philippines,28274,Facebook,Valorant,APEX Legends,It takes two,3/27/2018,https://www.facebook.com/gaming/NoctileTV
Sabs TV,male,0,Philippines,500961,Facebook,Valorant,Among Us,Mobile Legends,8/14/2020,https://www.facebook.com/gaming/SabsTVofficial
M&Ns Gaming,male,0,Philippines,294,Facebook,APEX Legends,Genshin Impact,Valorant,02/01/2021,https://www.facebook.com/gaming/mnnsgaming
amaratv,female,0,Philippines,95239,Facebook,Valorant,APEX Legends,Resident Evil,07/07/2020,https://www.facebook.com/gaming/amaratvamara
LiquidLuck Gaming,female,0,Philippines,177,Facebook,Valorant,unavailable,unavailable,4/16/2021,https://www.facebook.com/gaming/LiquidLuckTV
Eson Esports,male,0,Philippines,45952,Facebook,Valorant,Mobile Legends,Outlast II,01/03/2019,https://www.facebook.com/gaming/eson.ml
Borkum,male,0,Philippines,10341,Facebook,Valorant,unavailable,unavailable,07/09/2020,https://www.facebook.com/gaming/BORKUMM
FNCruzin,female,0,Philippines,300,Facebook,Stardew Valley,Genshin Impact,Overwatch,7/16/2019,https://www.facebook.com/gaming/fncruzin
Tweeya Gaming,female,0,Philippines,15853,Facebook,Valorant,It takes Two,Crossfire,02/10/2019,https://www.facebook.com/gaming/tweeya
ChrisM,male,0,Philippines,8093,Facebook,Valorant,Call of Duty: Mobile,unavailable,3/21/2020,https://www.facebook.com/ChrissM09/
Chan Malapaz,male,0,Philippines,22148,Facebook,Valorant,Fortnite,unavailable,1/22/2019,https://www.facebook.com/gaming/chaanmanlapaz
JhovanSanity,male,0,Philippines,6299,Facebook,Valorant,Mobile Legends,unavailable,06/05/2020,https://www.facebook.com/JhovanTV.Official/videos
"Oscar ""Kakarot"" Farin Jr.",male,0,Philippines,8446,Facebook,Valorant,CS:GO,unavailable,02/12/2019,https://www.facebook.com/gaming/jepotkakarot
Colmerainz,male,0,Philippines,231033,Facebook,Valorant,PUBG Mobile ,Call Of Duty: Warzone,06/02/2020,https://www.facebook.com/gaming/col.me.rainz
Bristopher,male,0,Philippines,3330,Facebook,Valorant,Dark Souls,unavailable,08/08/2020,https://www.facebook.com/watch/BristopherGG/
