page_name,gender_streamer,age,country,num_followers,platform,streamed_game1,streamed_game2,streamed_game3,date_started,page_link,year_started
burg,male,18,Philippines,169022,Facebook,Valorant,Phasmophobia,Rust,2020-05-22,https://www.facebook.com/gaming/rsnburg,2020
Razzie Binx,male,-1,Philippines,797062,Facebook,Valorant,Mobile Legends,At Dead of Night,2015-02-28,https://www.facebook.com/gaming/RealRazzieBinx,2015
Ling2x,female,-1,Philippines,159088,Facebook,Valorant,APEX Legends,Call Of Duty: Warzone,2017-10-26,https://www.facebook.com/gaming/L1NG2X,2017
Juweljems,male,17,Philippines,7320,Facebook,Valorant,Phasmophobia,Among Us,2020-08-21,https://www.facebook.com/gaming/juweljems,2020
Diviny,female,-1,Philippines,32456,Facebook,Valorant,APEX Legends,Phasmophobia,2018-05-10,https://www.facebook.com/gaming/ddiviny,2018
Rammyb,male,19,Philippines,267,Facebook,Valorant,none,none,2020-10-23,https://www.facebook.com/gaming/rammybb,2020
KCky,female,-1,Philippines,36778,Facebook,Valorant,DOTA 2,Among Us,2019-06-25,https://www.facebook.com/gaming/KacelynWxC,2019
Old Noob Gaming,male,-1,Philippines,53764,Facebook,Valorant,Minecraft,Mobile Legends,2019-07-08,https://www.facebook.com/gaming/JRiseGaming,2019
Redg Gaming,female,-1,Philippines,626,Facebook,Valorant,none,none,2021-02-15,https://www.facebook.com/gaming/RedgTheGamer,2021
Fuoco TV,male,19,Philippines,1477,Facebook,Valorant,Gran Theft Auto V,none,2021-01-26,https://www.facebook.com/FuocoTV,2021
Daze,male,20,Philippines,234,Facebook,Valorant,Phasmophobia,none,2020-12-24,https://www.facebook.com/gaming/Daaazeee,2020
Jatskenesis,male,20,Philippines,148,Facebook,Valorant,Phasmophobia,Little Nightmares,2021-01-24,https://www.facebook.com/gaming/Jatskinesis,2021
Illoumanatee,male,21,Philippines,71,Facebook,Valorant,Mobile Legends,none,2021-01-30,https://www.facebook.com/gaming/illoumanatee,2021
Deeznuts Gaming,male,-1,Philippines,116,Facebook,Gran Theft Auto V,Call of Duty: Mobile,none,2021-01-03,https://www.facebook.com/gaming/DEEZNUTSGAMING16,2021
PrayDator,male,-1,Philippines,289,Facebook,Valorant,APEX Legends,Mobile Legends,2021-01-10,https://www.facebook.com/gaming/PrayDatorGaming,2021
Noctile,male,-1,Philippines,28274,Facebook,Valorant,APEX Legends,It takes two,2018-03-27,https://www.facebook.com/gaming/NoctileTV,2018
Sabs TV,male,-1,Philippines,500961,Facebook,Valorant,Among Us,Mobile Legends,2020-08-14,https://www.facebook.com/gaming/SabsTVofficial,2020
M&Ns Gaming,male,-1,Philippines,294,Facebook,APEX Legends,Genshin Impact,Valorant,2021-02-01,https://www.facebook.com/gaming/mnnsgaming,2021
amaratv,female,-1,Philippines,95239,Facebook,Valorant,APEX Legends,Resident Evil,2020-07-07,https://www.facebook.com/gaming/amaratvamara,2020
LiquidLuck Gaming,female,-1,Philippines,177,Facebook,Valorant,none,none,2021-04-16,https://www.facebook.com/gaming/LiquidLuckTV,2021
Eson Esports,male,-1,Philippines,45952,Facebook,Valorant,Mobile Legends,Outlast II,2019-01-03,https://www.facebook.com/gaming/eson.ml,2019
Borkum,male,-1,Philippines,10341,Facebook,Valorant,none,none,2020-07-09,https://www.facebook.com/gaming/BORKUMM,2020
FNCruzin,female,-1,Philippines,300,Facebook,Stardew Valley,Genshin Impact,Overwatch,2019-07-16,https://www.facebook.com/gaming/fncruzin,2019
Tweeya Gaming,female,-1,Philippines,15853,Facebook,Valorant,It takes Two,Crossfire,2019-02-10,https://www.facebook.com/gaming/tweeya,2019
ChrisM,male,-1,Philippines,8093,Facebook,Valorant,Call of Duty: Mobile,none,2020-03-21,https://www.facebook.com/ChrissM09/,2020
